SKU,Descripcion,Stock
02-511-11-PP,Arco Impulse Borgatta Black .014  superior 1 pieza,5648
02-511-61-PP,Arco Impulse Borgatta Black .014 inferior 1 pieza,13605
02-511-13-PP,Arco Impulse Borgatta Black .018 superior 1 pieza,5754
02-511-63-PP,Arco Impulse Borgatta Black .018 inferior 1 pieza,5757
02-523-14-PP,Arco Neo-Impulse Borgatta Black .018x.018 superior 1 pieza,52
02-523-64-PP,Arco Neo-Impulse Borgatta Black .018x.018 inferior 1 pieza,28
02-523-17-PP,Arco Neo-Impulse Borgatta Black .020x.020 superior 1 pieza,132
02-528-05-PP,Arco Bio-Impulse Borgatta Black .018x.025 superior 1 pieza,96
02-528-55-PP,Arco Bio-Impulse Borgatta Black .018x.025 inferior 1 pieza,96
02-528-06-PP,Arco Bio-Impulse Borgatta Black .019x.025 superior 1 pieza,78
02-528-56-PP,Arco Bio-Impulse Borgatta Black .019x.025 inferior 1 pieza,78
02-528-07-PP,Arco Bio-Impulse Borgatta Black .020x.020 superior 1 pieza,5951
02-528-57-PP,Arco Bio-Impulse Borgatta Black .020x.020 inferior 1 pieza,5755
03-725-63-PP,Arco de acero inoxidable BLACK .017x.025 superior 1 pieza,251
03-725-64-PP,Arco de acero inoxidable BLACK .017x.025 inferior 1 pieza,266
03-825-63-PP,Arco de acero inoxidable BLACK .018x.025 superior 1 pieza,33002
03-825-64-PP,Arco de acero inoxidable BLACK .018x.025 inferior 1 pieza,33012
03-925-63-PP,Arco de acero inoxidable BLACK .019x.025 superior 1 pieza,4355
03-925-64-PP,Arco de acero inoxidable BLACK .019x.025 inferior 1 pieza,4268
03-925-43-PP,Arco de acero inoxidable trenzado .019x.025 superior 1 pieza,4533
03-925-44-PP,Arco de acero inoxidable trenzado .019x.025 inferior 1 pieza,4518
03-125-43-PP,Arco de acero inoxidable trenzado .021x.025 superior 1 pieza,7902
03-125-44-PP,Arco de acero inoxidable trenzado .021x.025 inferior 1 pieza,8446
02-711-112,Arco de Sentalloy Estético GAC .014 superior,0.9
02-711-612,Arco de Sentalloy Estético GAC .014 inferior,0.9
02-711-132,Arcos de Sentalloy Estéticos GAC .018 superior,0.9
02-711-632,Arcos de Sentalloy Estéticos GAC .018 inferior,0.9
02-728-072,Arcos de BioForce Estéticos GAC .020 x .020 superior,0.9
02-728-572,Arcos de BioForce Estéticos GAC .020 x .020 inferior,0.9
A-W-ME021401,Arcos Borgatta .014 superior,252.1
A-W-ME021402,Arcos Borgatta .014 inferior,177.4
A-W-ME021801,Arcos Borgatta .018 superior,381.1
A-W-ME021802,Arcos Borgatta .018 inferior,645.1
A-W-BM02181801,Arcos Borgatta .018x.018 superior,4151.9
A-W-BM02181802,Arcos Borgatta .018x.018 inferior,2450
A-W-BM02192501,Arcos Borgatta .019x.025 superior,269.4
A-W-BM02192502, Arcos Borgatta .019x.025 inferior,269
A-W-BM02202001,Arcos Borgatta .020x.020 superior,6205.2
A-W-BM02202002,Arcos Borgatta .020x.020 inferior,6251.9
A-W-TM02202001,Arcos Borgatta/OD-2729,38932
A-W-TM02202002,Arcos Borgatta/OD-2729,38944
200-045-RC,Arco de acero inoxidable Borgatta .018x.025 superior,14991
200-046-RC,Arco de acero inoxidable Borgatta .018x.025 inferior,15007
200-047-RC,Arco de acero inoxidable Borgatta .019x.025 superior,87793
200-047-T,Arco de acero inoxidable Borgatta .019x.025 superior 1 pieza,8906
200-048-RC,Arco de acero inoxidable Borgatta .019x.025 inferior,86735
200-048-T,Arco de acero inoxidable Borgatta .019x.025 inferior 1 pieza,8223
200-062,Arco de acero inoxidable trenzado Borgatta .019x.025 superior,5698
200-063,Arco de acero inoxidable trenzado Borgatta .019x.025 inferior,5557
200-093-P,Arco de acero inoxidable trenzado Borgatta .021x.025 superior,13181
200-094-P,Arco de acero inoxidable trenzado Borgatta .021x.025 inferior,12926
A-W-BM02162201,Arcos Borgatta .016x.022 superior,0
A-W-BM02162202,Arcos Borgatta .016x.022 inferior,0
A-W-ME091401,Arcos de NITI Memalloy Damon .014 superior c/10 piezas,0.2
A-W-ME091402,Arcos de NITI Memalloy Damon .014 inferior c/10 piezas,0.2
A-W-BM09172501,Arcos de NITI Bio-Memalloy Damon .017x.025 superior c/10 piezas,0.1
A-W-BM09172502,Arcos de NITI Bio-Memalloy Damon .017x.025 inferior c/10 piezas,0.1
A-W-BM09181801,Arcos de NITI Bio-Memalloy Damon .018x.018 superior c/10 piezas,0.1
A-W-BM09181802,Arcos de NITI Bio-Memalloy Damon .018x.018 inferior c/10 piezas,0.1
A-W-BM09182501,Arcos de NITI Bio-Memalloy Damon .018x.025 superior c/10 piezas,0.1
A-W-BM09182502,Arcos de NITI Bio-Memalloy Damon .018x.025 inferior c/10 piezas,0.1
A-W-BM09202001,Arcos de NITI Bio-Memalloy Damon .020x.020 superior c/10 piezas,0.1
A-W-BM09202002,Arcos de NITI Bio-Memalloy Damon .020x.020 inferior c/10 piezas,0.1
A-W-SS09192501,Arcos de acero inoxidable Damon .019x.025 superior c/10 piezas,90.1
A-W-SS09192502,Arcos de acero inoxidable Damon .019x.025 inferior c/10 piezas,90.1
WEBTSLU1925,Arco TMA Borgatta .019X.025  superior 1 pieza,1
WEBTSLL1925,Arco TMA Borgatta .019X.025  inferior 1 pieza,1
WESSSLU2020,Arco de acero inoxidable Borgatta .020X.020  superior 1 pieza,51
WESSSLL2020,Arco de acero inoxidable Borgatta .020X.020  inferior 1 pieza,51